2, martin, timeout, 0.5246245861053467
2, martin, timeout, 0.4924798011779785
2, martin, timeout, 0.4837069511413574
2, martin, timeout, 0.49268245697021484
2, martin, timeout, 0.4996802806854248
2, martin, timeout, 0.4946770668029785
2, martin, timeout, 0.5226085186004639
2, martin, timeout, 0.49268198013305664
2, martin, timeout, 0.5066447257995605
2, martin, timeout, 0.527620792388916
2, martin, timeout, 0.5036718845367432
2, martin, timeout, 0.5086395740509033
2, martin, timeout, 0.49806952476501465
2, martin, timeout, 0.4966716766357422
2, martin, timeout, 0.5046563148498535
2, martin, timeout, 0.5026555061340332
2, martin, timeout, 0.5235958099365234
2, martin, timeout, 0.514631986618042
2, martin, timeout, 0.5126605033874512
2, martin, timeout, 0.5495564937591553
2, maryam, solved, 0.05285906791687012
2, maryam, solved, 0.05683588981628418
2, maryam, solved, 0.04888153076171875
2, maryam, solved, 0.053839921951293945
2, maryam, solved, 0.0498659610748291
2, maryam, solved, 0.050858497619628906
2, maryam, solved, 0.04987835884094238
2, maryam, solved, 0.0548403263092041
2, maryam, solved, 0.051860809326171875
2, maryam, solved, 0.058843135833740234
2, maryam, solved, 0.050864458084106445
2, maryam, solved, 0.0498652458190918
2, maryam, solved, 0.05285835266113281
2, maryam, solved, 0.04790019989013672
2, maryam, solved, 0.0518951416015625
2, maryam, solved, 0.0518491268157959
2, maryam, solved, 0.05288386344909668
2, maryam, solved, 0.05285906791687012
2, maryam, solved, 0.05186033248901367
2, maryam, solved, 0.04886937141418457
2, jason, solved, 0.09372353553771973
2, jason, solved, 0.08976006507873535
2, jason, solved, 0.09274983406066895
2, jason, solved, 0.09476995468139648
2, jason, solved, 0.0937495231628418
2, jason, solved, 0.09274983406066895
2, jason, solved, 0.13023805618286133
2, jason, solved, 0.09474539756774902
2, jason, solved, 0.0947725772857666
2, jason, solved, 0.10471940040588379
2, jason, solved, 0.09474563598632812
2, jason, solved, 0.0937492847442627
2, jason, solved, 0.09374094009399414
2, jason, solved, 0.1029365062713623
2, jason, solved, 0.09275197982788086
2, jason, solved, 0.09477663040161133
2, jason, solved, 0.09474706649780273
2, jason, solved, 0.09776902198791504
2, jason, solved, 0.09175276756286621
2, jason, solved, 0.09477066993713379
