3, martin, solved, 0.14162182807922363
3, martin, solved, 0.10272574424743652
3, martin, solved, 0.10272502899169922
3, martin, solved, 0.10275673866271973
3, martin, solved, 0.10671401023864746
3, martin, solved, 0.1017143726348877
3, martin, solved, 0.10671663284301758
3, martin, solved, 0.10775113105773926
3, martin, solved, 0.11171674728393555
3, martin, solved, 0.1216740608215332
3, martin, solved, 0.11467957496643066
3, martin, solved, 0.1097409725189209
3, martin, solved, 0.10272550582885742
3, martin, solved, 0.1027519702911377
3, martin, solved, 0.10673737525939941
3, martin, solved, 0.12466907501220703
3, martin, solved, 0.11270332336425781
3, martin, solved, 0.10173559188842773
3, martin, solved, 0.10373640060424805
3, martin, solved, 0.10970664024353027
3, maryam, solved, 5.65147590637207
3, maryam, solved, 5.7724761962890625
3, maryam, solved, 5.6869049072265625
3, maryam, solved, 5.697500467300415
3, maryam, solved, 5.774351119995117
3, maryam, solved, 5.631875991821289
3, maryam, solved, 5.749018669128418
3, maryam, solved, 5.64514684677124
3, maryam, solved, 5.7244603633880615
3, maryam, solved, 5.989176273345947
3, maryam, solved, 5.70998477935791
3, maryam, solved, 5.719514608383179
3, maryam, solved, 5.909162521362305
3, maryam, solved, 5.682333946228027
3, maryam, solved, 5.72777247428894
3, maryam, solved, 5.796518087387085
3, maryam, solved, 5.766834259033203
3, maryam, solved, 5.7818989753723145
3, maryam, solved, 5.692143678665161
3, maryam, solved, 5.6646692752838135
3, jason, solved, 0.10669875144958496
3, jason, solved, 0.10970640182495117
3, jason, solved, 0.10674023628234863
3, jason, solved, 0.10674333572387695
3, jason, solved, 0.11966681480407715
3, jason, solved, 0.10569190979003906
3, jason, solved, 0.10872411727905273
3, jason, solved, 0.11170125007629395
3, jason, solved, 0.10869169235229492
3, jason, solved, 0.10970187187194824
3, jason, solved, 0.108734130859375
3, jason, solved, 0.10275530815124512
3, jason, solved, 0.11469244956970215
3, jason, solved, 0.10673356056213379
3, jason, solved, 0.11073040962219238
3, jason, solved, 0.11432600021362305
3, jason, solved, 0.11073064804077148
3, jason, solved, 0.11668539047241211
3, jason, solved, 0.10873937606811523
3, jason, solved, 0.10970497131347656
