1, martin, timeout, 0.13764691352844238
1, martin, timeout, 0.14264702796936035
1, martin, timeout, 0.13561224937438965
1, martin, timeout, 0.1356358528137207
1, martin, timeout, 0.1336362361907959
1, maryam, solved, 0.13266468048095703
1, maryam, solved, 0.13364243507385254
1, maryam, solved, 0.13164806365966797
1, maryam, solved, 0.13261055946350098
1, maryam, solved, 0.12865567207336426
1, jason, timeout, 0.14660310745239258
1, jason, timeout, 0.17057013511657715
1, jason, timeout, 0.17652678489685059
1, jason, timeout, 0.15360188484191895
1, jason, timeout, 0.19248509407043457
